$GHST_price,ID,BRS,HAUNT,Wearables,Seller,Buyer,MBRS,nrgTrait,aggTrait,spkTrait,brnTrait,eysTrait,eycTrait,Date,$USD_price
3000.0,956,525,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xceec48581b3145a575508719f45da07dc57fa7ce,0xe81119bcf92fa4e9234690df8ad2f35896988a71,525,58,83,86,99,3,97,2021-03-02,1.6107406546676593
3980.0,9124,523,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xad1decc60eb86b3c4db372d156bd1bb3a3edf1e2,0x86d43a2698bf69f39f5921e54c4052a2da86d879,523,93,91,56,11,90,0,2021-03-02,1.6107406546676593
777.0,7385,447,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x47c6e3a302c77931b2c67aa2b4a70f9f613a878d,0x17a3831b39cc557296d0c322f9c2d42c0b3a8f3f,447,53,79,74,81,1,43,2021-03-02,1.6107406546676593
500.0,7386,437,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x47c6e3a302c77931b2c67aa2b4a70f9f613a878d,0xff18298382948028f9d93c4e32be1382204022c8,437,88,15,58,76,42,31,2021-03-02,1.6107406546676593
777.0,543,450,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x2123e6171de8f2693c326d32129c9c3c6b5ebf63,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,450,22,87,77,91,51,38,2021-03-02,1.6107406546676593
240.0,7387,393,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x47c6e3a302c77931b2c67aa2b4a70f9f613a878d,0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1,393,80,50,56,58,68,24,2021-03-02,1.6107406546676593
349.0,4658,483,1,"[0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xc05cfb4fa62bb3c9df7ac65fe77d28345afa3485,0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1,485,83,77,95,54,29,99,2021-03-02,1.6107406546676593
999.0,1859,475,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x35d65b520981f67b1608874280db31c56ee9bbc6,0xfbf35487df12a09dc121f177328cf432abbeccf5,475,72,31,62,69,99,99,2021-03-02,1.6107406546676593
250.0,2111,442,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x55e4750743f1e394dff3e46eb03136fc27f29611,0x7e7c15ea104e49036cce3370eaac465a18414e13,442,68,59,8,93,46,27,2021-03-02,1.6107406546676593
1400.0,2774,529,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0x25d5c9dbc1e12163b973261a08739927e4f72ba8,0xff620dbec8d0c7cfd69974662bfd910940cf766d,529,80,90,96,12,20,91,2021-03-02,1.6107406546676593
500.0,2790,488,1,"[0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0xc194765f438294595eb4a620ca6d403f7c7e64c7,0x577182e41158ba340fd4934ad1fc24b011934a64,490,99,71,22,65,18,9,2021-03-02,1.6107406546676593
